CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
17668.0,1,2,347.75,5,2,2,9,Recent / Low Frequency
13394.0,1,8,2520.02,5,4,5,14,High-Value Loyal
17451.0,1,7,1721.4,5,4,4,13,High-Value Loyal
13098.0,1,28,28882.44,5,5,5,15,High-Value Loyal
17522.0,1,5,1070.71,5,4,4,13,High-Value Loyal
13077.0,1,4,728.02,5,3,3,11,Regular
15520.0,1,1,343.5,5,1,2,8,Recent / Low Frequency
15159.0,1,30,18641.010000000002,5,5,5,15,High-Value Loyal
17436.0,1,2,216.29999999999998,5,2,1,8,Recent / Low Frequency
13318.0,1,3,640.76,5,3,3,11,Regular
13314.0,1,3,775.94,5,3,3,11,Regular
13468.0,1,37,5704.97,5,5,5,15,High-Value Loyal
13471.0,1,4,2501.84,5,3,5,13,Regular
14520.0,1,2,270.6,5,2,2,9,Recent / Low Frequency
15187.0,1,16,4777.18,5,5,5,15,High-Value Loyal
13298.0,1,1,360.0,5,1,2,8,Recent / Low Frequency
17491.0,1,10,3558.87,5,5,5,15,High-Value Loyal
13436.0,1,1,196.89,5,1,1,7,Recent / Low Frequency
17677.0,1,30,16345.38,5,5,5,15,High-Value Loyal
12437.0,1,18,4951.41,5,5,5,15,High-Value Loyal
17675.0,1,31,20374.28,5,5,5,15,High-Value Loyal
12358.0,1,2,1168.06,5,2,4,11,Recent / Low Frequency
17757.0,1,30,5593.39,5,5,5,15,High-Value Loyal
14606.0,1,93,12076.15,5,5,5,15,High-Value Loyal
14646.0,1,73,280206.02,5,5,5,15,High-Value Loyal
15796.0,1,8,2708.61,5,4,5,14,High-Value Loyal
13510.0,1,4,1791.56,5,3,4,12,Regular
13026.0,1,5,975.36,5,4,4,13,High-Value Loyal
16688.0,1,4,1260.86,5,3,4,12,Regular
18210.0,1,6,2621.38,5,4,5,14,High-Value Loyal
13263.0,1,35,7436.93,5,5,5,15,High-Value Loyal
13521.0,1,3,1071.73,5,3,4,12,Regular
15156.0,1,3,961.49,5,3,4,12,Regular
13013.0,1,13,4810.9400000000005,5,5,5,15,High-Value Loyal
14621.0,1,5,1788.3600000000001,5,4,4,13,High-Value Loyal
17644.0,1,11,2895.64,5,5,5,15,High-Value Loyal
13536.0,1,7,3444.39,5,4,5,14,High-Value Loyal
16523.0,1,21,9418.470000000001,5,5,5,15,High-Value Loyal
15189.0,1,41,16225.39,5,5,5,15,High-Value Loyal
17554.0,1,5,1952.45,5,4,4,13,High-Value Loyal
13269.0,1,15,5343.28,5,5,5,15,High-Value Loyal
17528.0,1,8,3628.5,5,4,5,14,High-Value Loyal
14569.0,1,1,227.39,5,1,1,7,Recent / Low Frequency
17673.0,1,6,1594.97,5,4,4,13,High-Value Loyal
13102.0,1,24,6424.09,5,5,5,15,High-Value Loyal
16933.0,1,2,563.23,5,2,3,10,Recent / Low Frequency
15208.0,1,5,870.12,5,4,3,12,Regular
13798.0,1,57,37153.85,5,5,5,15,High-Value Loyal
14138.0,1,2,965.8800000000001,5,2,4,11,Recent / Low Frequency
14698.0,1,5,1217.27,5,4,4,13,High-Value Loyal
16833.0,1,4,1106.53,5,3,4,12,Regular
17631.0,1,3,528.33,5,3,3,11,Regular
15443.0,1,7,3213.59,5,4,5,14,High-Value Loyal
17830.0,1,3,398.7,5,3,2,10,Regular
13599.0,1,21,5149.92,5,5,5,15,High-Value Loyal
15484.0,1,4,3590.41,5,3,5,13,Regular
14796.0,1,17,7975.49,5,5,5,15,High-Value Loyal
12955.0,1,11,4757.16,5,5,5,15,High-Value Loyal
12621.0,1,20,13689.67,5,5,5,15,High-Value Loyal
17315.0,1,38,6281.23,5,5,5,15,High-Value Loyal
14415.0,1,13,5855.57,5,5,5,15,High-Value Loyal
14653.0,1,7,1926.65,5,4,4,13,High-Value Loyal
14911.0,1,201,143711.17,5,5,5,15,High-Value Loyal
15237.0,1,4,1412.32,5,3,4,12,Regular
17243.0,1,26,8540.05,5,5,5,15,High-Value Loyal
15453.0,1,7,1371.77,5,4,4,13,High-Value Loyal
16210.0,1,18,21086.3,5,5,5,15,High-Value Loyal
17841.0,1,124,40519.84,5,5,5,15,High-Value Loyal
17856.0,1,4,1418.03,5,3,4,12,Regular
13860.0,1,5,1245.9,5,4,4,13,High-Value Loyal
13680.0,1,4,3719.12,5,3,5,13,Regular
14135.0,1,15,4690.31,5,5,5,15,High-Value Loyal
16794.0,1,10,1196.5,5,5,4,14,High-Value Loyal
14129.0,1,5,1123.8600000000001,5,4,4,13,High-Value Loyal
14191.0,1,13,4684.76,5,5,5,15,High-Value Loyal
16322.0,1,2,326.75,5,2,2,9,Recent / Low Frequency
16442.0,1,3,609.3,5,3,3,11,Regular
15877.0,1,2,490.33,5,2,3,10,Recent / Low Frequency
14291.0,1,11,3883.25,5,5,5,15,High-Value Loyal
17144.0,1,2,984.57,5,2,4,11,Recent / Low Frequency
13890.0,1,10,1883.8100000000002,5,5,4,14,High-Value Loyal
15399.0,1,3,815.77,5,3,3,11,Regular
17949.0,1,45,58510.48,5,5,5,15,High-Value Loyal
13924.0,1,6,1838.8500000000001,5,4,4,13,High-Value Loyal
14251.0,1,5,2879.7000000000003,5,4,5,14,High-Value Loyal
15898.0,1,5,1383.83,5,4,4,13,High-Value Loyal
16401.0,1,12,4098.32,5,5,5,15,High-Value Loyal
16891.0,1,5,742.43,5,4,3,12,Regular
16161.0,1,19,5533.67,5,5,5,15,High-Value Loyal
14217.0,1,17,2004.98,5,5,4,14,High-Value Loyal
14056.0,1,23,8152.71,5,5,5,15,High-Value Loyal
18109.0,1,26,8004.92,5,5,5,15,High-Value Loyal
16358.0,1,4,2027.5,5,3,4,12,Regular
13954.0,1,2,439.92,5,2,2,9,Recent / Low Frequency
14730.0,1,8,1897.57,5,4,4,13,High-Value Loyal
16892.0,1,5,518.19,5,4,3,12,Regular
14719.0,1,5,1581.84,5,4,4,13,High-Value Loyal
14702.0,1,17,3251.79,5,5,5,15,High-Value Loyal
18272.0,2,6,3078.58,5,4,5,14,High-Value Loyal
16000.0,2,3,12393.7,5,3,5,13,Regular
16368.0,2,2,479.91,5,2,2,9,Recent / Low Frequency
17097.0,2,8,954.42,5,4,4,13,High-Value Loyal
16458.0,2,18,3482.7400000000002,5,5,5,15,High-Value Loyal
17091.0,2,9,3827.76,5,4,5,14,High-Value Loyal
13767.0,2,37,17220.36,5,5,5,15,High-Value Loyal
13769.0,2,10,2796.51,5,5,5,15,High-Value Loyal
17412.0,2,7,1258.06,5,4,4,13,High-Value Loyal
12826.0,2,7,1474.72,5,4,4,13,High-Value Loyal
17434.0,2,7,2373.82,5,4,5,14,High-Value Loyal
17870.0,2,12,1865.89,5,5,4,14,High-Value Loyal
12828.0,2,6,1018.71,5,4,4,13,High-Value Loyal
17449.0,2,7,2519.21,5,4,5,14,High-Value Loyal
15525.0,2,3,734.37,5,3,3,11,Regular
15883.0,2,2,396.48,5,2,2,9,Recent / Low Frequency
13089.0,2,97,58762.08,5,5,5,15,High-Value Loyal
13870.0,2,8,2770.94,5,4,5,14,High-Value Loyal
18219.0,2,10,2069.77,5,5,5,15,High-Value Loyal
12839.0,2,14,5591.42,5,5,5,15,High-Value Loyal
18273.0,2,3,204.0,5,3,1,9,Regular
15750.0,2,8,2463.05,5,4,5,14,High-Value Loyal
12583.0,2,15,7281.38,5,5,5,15,High-Value Loyal
13882.0,2,5,1191.13,5,4,4,13,High-Value Loyal
16678.0,2,12,3109.99,5,5,5,15,High-Value Loyal
15298.0,2,12,4799.9,5,5,5,15,High-Value Loyal
16672.0,2,20,8134.9400000000005,5,5,5,15,High-Value Loyal
18092.0,2,11,9068.26,5,5,5,15,High-Value Loyal
16191.0,2,13,5180.52,5,5,5,15,High-Value Loyal
14397.0,2,19,2612.96,5,5,5,15,High-Value Loyal
12569.0,2,32,4124.69,5,5,5,15,High-Value Loyal
14395.0,2,9,3479.91,5,4,5,14,High-Value Loyal
16393.0,2,13,3040.96,5,5,5,15,High-Value Loyal
14204.0,2,1,150.61,5,1,1,7,Recent / Low Frequency
18237.0,2,5,987.1,5,4,4,13,High-Value Loyal
16779.0,2,22,10611.720000000001,5,5,5,15,High-Value Loyal
12471.0,2,30,19788.65,5,5,5,15,High-Value Loyal
16817.0,2,9,1604.75,5,4,4,13,High-Value Loyal
14189.0,2,15,4654.08,5,5,5,15,High-Value Loyal
12347.0,2,7,4310.0,5,4,5,14,High-Value Loyal
14534.0,2,18,4397.3,5,5,5,15,High-Value Loyal
14527.0,2,55,8507.13,5,5,5,15,High-Value Loyal
15195.0,2,1,3861.0,5,1,5,11,Recent / Low Frequency
16271.0,2,5,1404.64,5,4,4,13,High-Value Loyal
12783.0,2,6,2225.91,5,4,5,14,High-Value Loyal
17735.0,2,19,13110.02,5,5,5,15,High-Value Loyal
17835.0,2,3,342.24,5,3,2,10,Regular
14708.0,2,3,1126.37,5,3,4,12,Regular
15136.0,2,4,1286.7,5,3,4,12,Regular
15984.0,2,10,2780.63,5,5,5,15,High-Value Loyal
14087.0,2,1,191.47,5,1,1,7,Recent / Low Frequency
17017.0,2,20,8694.26,5,5,5,15,High-Value Loyal
16426.0,2,10,1863.76,5,5,4,14,High-Value Loyal
15701.0,2,4,1529.0,5,3,4,12,Regular
14032.0,2,11,2975.59,5,5,5,15,High-Value Loyal
14085.0,2,18,4421.29,5,5,5,15,High-Value Loyal
17049.0,2,9,5655.03,5,4,5,14,High-Value Loyal
14132.0,2,11,3586.0299999999997,5,5,5,15,High-Value Loyal
12720.0,2,25,5781.73,5,5,5,15,High-Value Loyal
12615.0,2,4,2291.19,5,3,5,13,Regular
17590.0,2,3,1468.02,5,3,4,12,Regular
17511.0,2,31,91062.38,5,5,5,15,High-Value Loyal
15969.0,2,3,666.1,5,3,3,11,Regular
14141.0,2,4,915.13,5,3,3,11,Regular
17602.0,2,6,5054.42,5,4,5,14,High-Value Loyal
12747.0,2,11,4196.01,5,5,5,15,High-Value Loyal
13267.0,2,19,4521.49,5,5,5,15,High-Value Loyal
15568.0,2,3,758.29,5,3,3,11,Regular
17042.0,2,5,1036.58,5,4,4,13,High-Value Loyal
14904.0,2,2,1025.44,5,2,4,11,Recent / Low Frequency
13756.0,2,14,5189.52,5,5,5,15,High-Value Loyal
13949.0,2,6,2427.32,5,4,5,14,High-Value Loyal
13534.0,2,25,5870.08,5,5,5,15,High-Value Loyal
15498.0,2,27,13316.4,5,5,5,15,High-Value Loyal
16525.0,2,26,13027.45,5,5,5,15,High-Value Loyal
14794.0,2,7,1319.91,5,4,4,13,High-Value Loyal
13668.0,2,21,6309.83,5,5,5,15,High-Value Loyal
15471.0,2,1,454.48,5,1,2,8,Recent / Low Frequency
12935.0,2,7,2160.7,5,4,5,14,High-Value Loyal
13685.0,2,7,3119.44,5,4,5,14,High-Value Loyal
12950.0,2,3,1843.0,5,3,4,12,Regular
13743.0,2,7,1341.6,5,4,4,13,High-Value Loyal
14910.0,2,4,434.35,5,3,2,10,Regular
17266.0,2,3,296.58,5,3,2,10,Regular
12912.0,2,5,1662.3,5,4,4,13,High-Value Loyal
16539.0,2,4,1388.81,5,3,4,12,Regular
17238.0,2,17,3719.1,5,5,5,15,High-Value Loyal
14769.0,2,8,10416.98,5,4,5,14,High-Value Loyal
17232.0,2,2,417.77,5,2,2,9,Recent / Low Frequency
17503.0,2,2,558.96,5,2,3,10,Recent / Low Frequency
14562.0,3,18,5006.77,5,5,5,15,High-Value Loyal
17705.0,3,9,1823.52,5,4,4,13,High-Value Loyal
16313.0,3,2,274.15000000000003,5,2,2,9,Recent / Low Frequency
14871.0,3,4,501.28000000000003,5,3,3,11,Regular
17593.0,3,5,3923.86,5,4,5,14,High-Value Loyal
14140.0,3,2,935.05,5,2,4,11,Recent / Low Frequency
13323.0,3,5,787.85,5,4,3,12,Regular
15194.0,3,15,7616.53,5,5,5,15,High-Value Loyal
15318.0,3,1,312.62,5,1,2,8,Recent / Low Frequency
17883.0,3,4,664.34,5,3,3,11,Regular
17914.0,3,1,329.36,5,1,2,8,Recent / Low Frequency
18154.0,3,2,399.19,5,2,2,9,Recent / Low Frequency
12971.0,3,86,11189.91,5,5,5,15,High-Value Loyal
16013.0,3,47,37130.6,5,5,5,15,High-Value Loyal
12820.0,3,4,942.34,5,3,4,12,Regular
17346.0,3,15,2622.88,5,5,5,15,High-Value Loyal
12989.0,3,15,6924.110000000001,5,5,5,15,High-Value Loyal
14673.0,3,5,1736.4,5,4,4,13,High-Value Loyal
18283.0,3,16,2045.53,5,5,4,14,High-Value Loyal
12584.0,3,9,2338.15,5,4,5,14,High-Value Loyal
17884.0,3,4,695.0699999999999,5,3,3,11,Regular
16979.0,3,6,1852.0,5,4,4,13,High-Value Loyal
16949.0,3,6,1286.27,5,4,4,13,High-Value Loyal
16495.0,3,3,648.26,5,3,3,11,Regular
12442.0,3,1,172.06,5,1,1,7,Recent / Low Frequency
13199.0,3,38,9817.12,5,5,5,15,High-Value Loyal
14868.0,3,8,2953.59,5,4,5,14,High-Value Loyal
14572.0,3,7,2804.54,5,4,5,14,High-Value Loyal
16143.0,3,6,2424.94,5,4,5,14,High-Value Loyal
17666.0,3,2,728.16,5,2,3,10,Recent / Low Frequency
14578.0,3,1,168.63,5,1,1,7,Recent / Low Frequency
13225.0,3,7,6463.84,5,4,5,14,High-Value Loyal
15992.0,3,1,41.989999999999995,5,1,1,7,Recent / Low Frequency
13104.0,3,6,1098.48,5,4,4,13,High-Value Loyal
12682.0,3,31,12279.82,5,5,5,15,High-Value Loyal
14071.0,3,8,1437.57,5,4,4,13,High-Value Loyal
15157.0,3,3,1936.07,5,3,4,12,Regular
12650.0,3,1,314.44,5,1,2,8,Recent / Low Frequency
16929.0,3,7,1295.39,5,4,4,13,High-Value Loyal
14216.0,3,4,1839.3,5,3,4,12,Regular
12362.0,3,10,5226.23,5,5,5,15,High-Value Loyal
16133.0,3,33,14589.04,5,5,5,15,High-Value Loyal
16987.0,3,7,1616.8,5,4,4,13,High-Value Loyal
14110.0,3,12,5683.15,5,5,5,15,High-Value Loyal
14113.0,3,4,1840.42,5,3,4,12,Regular
14121.0,3,4,2780.15,5,3,5,13,Regular
16528.0,3,1,244.41,5,1,1,7,Recent / Low Frequency
13994.0,3,6,2274.14,5,4,5,14,High-Value Loyal
13881.0,3,20,17159.52,5,5,5,15,High-Value Loyal
12716.0,3,2,1053.49,5,2,4,11,Recent / Low Frequency
14547.0,3,8,3974.75,5,4,5,14,High-Value Loyal
12723.0,3,5,725.07,5,4,3,12,Regular
16569.0,3,1,124.2,5,1,1,7,Recent / Low Frequency
13078.0,3,26,12627.94,5,5,5,15,High-Value Loyal
18225.0,3,12,5504.96,5,5,5,15,High-Value Loyal
15061.0,3,48,54534.14,5,5,5,15,High-Value Loyal
15822.0,3,2,885.47,5,2,3,10,Recent / Low Frequency
14735.0,3,32,6065.69,5,5,5,15,High-Value Loyal
17481.0,3,4,1255.59,5,3,4,12,Regular
14825.0,3,12,2221.01,5,5,5,15,High-Value Loyal
13507.0,3,4,2479.16,5,3,5,13,Regular
14737.0,3,3,1164.55,5,3,4,12,Regular
12417.0,3,9,3649.1,5,4,5,14,High-Value Loyal
17730.0,3,13,5298.4800000000005,5,5,5,15,High-Value Loyal
17728.0,3,3,2876.01,5,3,5,13,Regular
14503.0,3,6,3543.26,5,4,5,14,High-Value Loyal
12766.0,3,7,6989.63,5,4,5,14,High-Value Loyal
16076.0,3,10,2234.73,5,5,5,15,High-Value Loyal
17744.0,3,6,2322.4,5,4,5,14,High-Value Loyal
17250.0,3,2,381.97,5,2,2,9,Recent / Low Frequency
18005.0,3,2,226.47,5,2,1,8,Recent / Low Frequency
17119.0,3,2,606.91,5,2,3,10,Recent / Low Frequency
16201.0,3,4,1863.47,5,3,4,12,Regular
16353.0,3,23,6675.71,5,5,5,15,High-Value Loyal
16764.0,3,13,2790.9500000000003,5,5,5,15,High-Value Loyal
12478.0,3,1,680.99,5,1,3,9,Recent / Low Frequency
16790.0,3,6,1545.6200000000001,5,4,4,13,High-Value Loyal
13755.0,3,9,2108.06,5,4,5,14,High-Value Loyal
12749.0,3,5,4090.88,5,4,5,14,High-Value Loyal
12877.0,3,12,1535.77,5,5,4,14,High-Value Loyal
13709.0,3,13,6307.650000000001,5,5,5,15,High-Value Loyal
15907.0,3,3,882.72,5,3,3,11,Regular
15023.0,3,11,6720.41,5,5,5,15,High-Value Loyal
13694.0,3,50,65039.62,5,5,5,15,High-Value Loyal
16620.0,3,2,178.96,5,2,1,8,Recent / Low Frequency
14418.0,3,3,1937.25,5,3,4,12,Regular
17861.0,3,8,2097.88,5,4,5,14,High-Value Loyal
17290.0,3,2,513.01,5,2,3,10,Recent / Low Frequency
14907.0,3,7,3501.1,5,4,5,14,High-Value Loyal
14282.0,3,15,3701.44,5,5,5,15,High-Value Loyal
14293.0,3,4,1046.56,5,3,4,12,Regular
16711.0,3,5,1651.03,5,4,4,13,High-Value Loyal
16016.0,3,8,1465.51,5,4,4,13,High-Value Loyal
16015.0,3,3,704.55,5,3,3,11,Regular
16684.0,4,28,66653.56,5,5,5,15,High-Value Loyal
13985.0,4,15,7060.13,5,5,5,15,High-Value Loyal
15690.0,4,2,239.76,5,2,1,8,Recent / Low Frequency
14060.0,4,19,6140.42,5,5,5,15,High-Value Loyal
18015.0,4,1,120.03,5,1,1,7,Recent / Low Frequency
16910.0,4,8,1508.96,5,4,4,13,High-Value Loyal
16682.0,4,5,1028.0,5,4,4,13,High-Value Loyal
12381.0,4,5,1845.31,5,4,4,13,High-Value Loyal
16379.0,4,4,2157.4,5,3,5,13,Regular
17526.0,4,4,1195.8999999999999,5,3,4,12,Regular
13083.0,4,2,303.75,5,2,2,9,Recent / Low Frequency
18030.0,4,2,230.64999999999998,5,2,1,8,Recent / Low Frequency
13126.0,4,8,2099.64,5,4,5,14,High-Value Loyal
13079.0,4,5,220.10000000000002,5,4,1,10,Regular
12683.0,4,15,8476.57,5,5,5,15,High-Value Loyal
16904.0,4,16,3653.75,5,5,5,15,High-Value Loyal
15358.0,4,22,8347.2,5,5,5,15,High-Value Loyal
15290.0,4,18,7943.22,5,5,5,15,High-Value Loyal
17706.0,4,17,10504.49,5,5,5,15,High-Value Loyal
15854.0,4,12,2969.12,5,5,5,15,High-Value Loyal
13417.0,4,2,640.83,5,2,3,10,Recent / Low Frequency
15392.0,4,4,1535.53,5,3,4,12,Regular
13305.0,4,10,2000.86,5,5,4,14,High-Value Loyal
15053.0,4,3,693.95,5,3,3,11,Regular
17090.0,4,7,1974.65,5,4,4,13,High-Value Loyal
16642.0,4,2,688.33,5,2,3,10,Recent / Low Frequency
16500.0,4,6,400.86,5,4,2,11,Regular
12367.0,4,1,168.9,5,1,1,7,Recent / Low Frequency
17404.0,4,15,31906.82,5,5,5,15,High-Value Loyal
17402.0,4,13,2633.85,5,5,5,15,High-Value Loyal
13311.0,4,2,598.57,5,2,3,10,Recent / Low Frequency
14219.0,4,1,89.94,5,1,1,7,Recent / Low Frequency
17006.0,4,4,781.78,5,3,3,11,Regular
16597.0,4,1,90.04,5,1,1,7,Recent / Low Frequency
14075.0,4,3,942.26,5,3,4,12,Regular
15274.0,4,2,716.57,5,2,3,10,Recent / Low Frequency
14083.0,4,9,1002.9,5,4,4,13,High-Value Loyal
12782.0,4,5,2330.92,5,4,5,14,High-Value Loyal
17383.0,4,1,193.39000000000001,5,1,1,7,Recent / Low Frequency
13021.0,4,9,2616.38,5,4,5,14,High-Value Loyal
14739.0,4,7,3902.28,5,4,5,14,High-Value Loyal
15033.0,4,10,2557.18,5,5,5,15,High-Value Loyal
16746.0,4,18,6680.11,5,5,5,15,High-Value Loyal
18198.0,4,17,5425.56,5,5,5,15,High-Value Loyal
16873.0,4,6,7123.62,5,4,5,14,High-Value Loyal
15550.0,4,4,575.63,5,3,3,11,Regular
17676.0,4,6,1371.18,5,4,4,13,High-Value Loyal
16600.0,4,6,813.52,5,4,3,12,Regular
15572.0,4,7,2533.42,5,4,5,14,High-Value Loyal
14759.0,4,3,1625.97,5,3,4,12,Regular
15145.0,4,4,1194.73,5,3,4,12,Regular
15856.0,4,27,16143.64,5,5,5,15,High-Value Loyal
12646.0,4,2,1346.97,5,2,4,11,Recent / Low Frequency
17254.0,4,2,271.19,5,2,2,9,Recent / Low Frequency
16149.0,4,2,280.52,5,2,2,9,Recent / Low Frequency
14194.0,4,21,11349.52,5,5,5,15,High-Value Loyal
12994.0,4,3,974.4200000000001,5,3,4,12,Regular
14401.0,4,13,4051.48,5,5,5,15,High-Value Loyal
17579.0,4,3,448.90000000000003,5,3,2,10,Regular
14696.0,4,7,2078.95,5,4,5,14,High-Value Loyal
15621.0,4,4,1293.03,5,3,4,12,Regular
14931.0,4,5,1257.68,5,4,4,13,High-Value Loyal
15932.0,4,8,2495.87,5,4,5,14,High-Value Loyal
16360.0,4,6,3450.41,5,4,5,14,High-Value Loyal
16851.0,4,3,342.45,5,3,2,10,Regular
18180.0,4,6,1843.75,5,4,4,13,High-Value Loyal
12913.0,4,5,2483.63,5,4,5,14,High-Value Loyal
14629.0,4,2,955.26,5,2,4,11,Recent / Low Frequency
17817.0,4,3,387.68,5,3,2,10,Regular
16811.0,4,2,547.07,5,2,3,10,Recent / Low Frequency
15031.0,4,4,653.19,5,3,3,11,Regular
16968.0,4,2,439.43,5,2,2,9,Recent / Low Frequency
16513.0,4,4,874.59,5,3,3,11,Regular
12925.0,4,2,694.05,5,2,3,10,Recent / Low Frequency
13001.0,4,13,9785.970000000001,5,5,5,15,High-Value Loyal
18223.0,4,14,6484.54,5,5,5,15,High-Value Loyal
17920.0,4,17,4119.5,5,5,5,15,High-Value Loyal
18044.0,4,10,2088.6,5,5,5,15,High-Value Loyal
15097.0,4,1,248.08,5,1,1,7,Recent / Low Frequency
12628.0,4,3,786.46,5,3,3,11,Regular
13173.0,4,2,353.65,5,2,2,9,Recent / Low Frequency
16200.0,4,2,1068.8700000000001,5,2,4,11,Recent / Low Frequency
12841.0,4,25,3991.58,5,5,5,15,High-Value Loyal
14649.0,4,4,1402.59,5,3,4,12,Regular
13790.0,4,1,348.8,5,1,2,8,Recent / Low Frequency
15640.0,4,15,12416.11,5,5,5,15,High-Value Loyal
17811.0,4,39,7761.82,5,5,5,15,High-Value Loyal
15628.0,4,9,2870.2400000000002,5,4,5,14,High-Value Loyal
14096.0,4,17,65164.79,5,5,5,15,High-Value Loyal
14608.0,4,4,1785.15,5,3,4,12,Regular
16592.0,4,16,4113.68,5,5,5,15,High-Value Loyal
17218.0,4,10,1951.97,5,5,4,14,High-Value Loyal
17857.0,4,23,26879.04,5,5,5,15,High-Value Loyal
13230.0,4,14,2755.63,5,5,5,15,High-Value Loyal
17936.0,5,1,380.13,5,1,2,8,Recent / Low Frequency
15867.0,5,15,3810.14,5,5,5,15,High-Value Loyal
12560.0,5,3,2134.01,5,3,5,13,Regular
17131.0,5,5,2463.17,5,4,5,14,High-Value Loyal
12673.0,5,2,610.52,5,2,3,10,Recent / Low Frequency
16561.0,5,2,511.12,5,2,3,10,Recent / Low Frequency
13838.0,5,4,674.82,5,3,3,11,Regular
17629.0,5,8,1814.12,5,4,4,13,High-Value Loyal
16438.0,5,5,798.35,5,4,3,12,Regular
17114.0,5,8,801.12,5,4,3,12,Regular
12490.0,5,10,5417.93,5,5,5,15,High-Value Loyal
13956.0,5,5,1019.27,5,4,4,13,High-Value Loyal
17858.0,5,12,5140.66,5,5,5,15,High-Value Loyal
16905.0,5,7,3037.6,5,4,5,14,High-Value Loyal
16033.0,5,20,8778.82,5,5,5,15,High-Value Loyal
13736.0,5,2,729.8,5,2,3,10,Recent / Low Frequency
12724.0,5,4,1031.41,5,3,4,12,Regular
14720.0,5,3,663.81,5,3,3,11,Regular
16326.0,5,14,3039.2200000000003,5,5,5,15,High-Value Loyal
14354.0,5,2,163.62,5,2,1,8,Recent / Low Frequency
14658.0,5,2,247.15,5,2,1,8,Recent / Low Frequency
17173.0,5,8,3766.6,5,4,5,14,High-Value Loyal
17954.0,5,12,2314.13,5,5,5,15,High-Value Loyal
14102.0,5,5,1105.8799999999999,5,4,4,13,High-Value Loyal
12719.0,5,2,644.95,5,2,3,10,Recent / Low Frequency
12827.0,5,3,430.15000000000003,5,3,2,10,Regular
13822.0,5,2,632.0,5,2,3,10,Recent / Low Frequency
17618.0,5,3,930.28,5,3,3,11,Regular
17750.0,5,9,1710.45,5,4,4,13,High-Value Loyal
16283.0,5,5,1570.81,5,4,4,13,High-Value Loyal
14456.0,5,9,3017.28,5,4,5,14,High-Value Loyal
16535.0,5,1,593.75,5,1,3,9,Recent / Low Frequency
13558.0,5,4,594.52,5,3,3,11,Regular
14546.0,5,5,2573.93,5,4,5,14,High-Value Loyal
13153.0,5,1,486.22,5,1,2,8,Recent / Low Frequency
15773.0,5,1,635.6800000000001,5,1,3,9,Recent / Low Frequency
13319.0,5,26,10845.550000000001,5,5,5,15,High-Value Loyal
13630.0,5,7,2031.78,5,4,4,13,High-Value Loyal
13596.0,5,2,664.11,5,2,3,10,Recent / Low Frequency
16988.0,5,1,126.12,5,1,1,7,Recent / Low Frequency
13808.0,5,5,1747.66,5,4,4,13,High-Value Loyal
